COUNTYGEOID,C01,C02,C03,C04,C05
05013,-48641.29878436521,-34089.79983966561,-8985.359569948225,-29538.49738661072,16522.37424546931
05015,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05017,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05019,-47621.683668637685,-34242.79432637072,-5184.518547017672,-10283.263258127696,-13096.48572184738
05021,-49249.80821089777,-33997.447989050415,-10768.708423475942,-40210.69960263516,33023.4388902755
05023,-49249.85420724927,-33997.77438154299,-10768.837632885181,-40211.763504234885,33023.00691779465
05025,-49249.854207410965,-33997.7743827529,-10768.837633096613,-40211.763506592986,33023.006917988154
05027,-48659.17495758814,-34019.59056727176,-9564.300227594413,-8940.00796013944,-56092.66957916312
05029,-35144.212288347044,-36213.12777742481,37987.51448218651,234740.3347159348,-393081.3172994237
05031,-49079.902201216726,-34012.778452573395,-9959.696581766822,-34711.24459261649,14697.746368048502
05033,-49201.66089501982,-34002.29976188995,-10792.707951652408,-39696.34674708736,33279.6300831011
05035,-42192.65388495135,-35080.69587256072,40521.80428476753,-21598.326221668896,36985.95281902978
05037,-49247.81882396011,-33978.63965182496,-10768.630237886171,-40211.71116473259,33022.70970293095
05039,-48932.21135285018,-34047.6616312197,-9670.899766253337,-34020.15542876869,23427.623150670363
05041,-34607.533183126965,-36295.85838438782,39838.97452481216,245188.72418229768,-409269.34117092093
05043,-49249.85420916805,-33997.77440706103,-10768.83763832088,-40211.76353694931,33023.00689073695
05045,-49249.818825290815,-33997.56596470935,-10768.831994569617,-40211.61761676844,33022.811434722134
05047,-49249.85419151126,-33997.77439867173,-10768.837603707947,-40211.76331874723,33023.00700436689
05049,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05051,-48752.88490600571,-30085.080379800314,-10038.489024855495,-37039.1597718797,28544.46478555966
05053,-49249.85334431616,-33997.7657275215,-10768.835882589168,-40211.75142727772,33023.01614887597
05055,-49235.14824961169,-33976.762786352854,-10615.897313174313,-38556.10798519291,33484.10016578891
05057,-49248.58646907031,-33993.36496750543,-10768.827902927289,-40200.492002879524,33027.24074797607
05059,-49249.37551360657,-33997.37808514317,-10768.919786424749,-40208.72466698704,33022.88634019579
05061,-49249.81808191469,-33997.70595088457,-10768.884787211558,-40211.67128616405,33023.066053523835
